NAME,state,district,geoid,total_returns,eitc_returns,eitc_participation_rate,federal_eitc_avg_amount,federal_eitc_total_amount,state_eitc_avg_amount,state_eitc_total_amount,ctc_returns,ctc_participation_rate,ctc_avg_amount,ctc_total_amount,total_population
State House District 01; Hawaii; Hawaii,15,1,1501,13035.2,2042.3,0.156679,2356.31,4812392,942.53,1924957,1463.4,0.112265,1906.66,2790198,25246
State House District 17; Hawaii; Hawaii,15,17,1517,12965.4,1601,0.12348,2194.54,3513368,877.81,1405347,1120,0.086387,1908.46,2137545,24545
State House District 18; Hawaii; Hawaii,15,18,1518,13263.6,596.9,0.045003,1614.71,963824,645.88,385530,395,0.029782,1844.44,728574,27341
State House District 19; Hawaii; Hawaii,15,19,1519,13148.9,690.6,0.052525,1557.37,1075591,622.95,430236,414,0.031489,1863.3,771481,26885
State House District 20; Hawaii; Hawaii,15,20,1520,13504,1187.3,0.087925,1795.84,2132281,718.34,852912,655.8,0.048563,1743.24,1143203,27027
State House District 21; Hawaii; Hawaii,15,21,1521,13559.7,1196.3,0.088224,1934.36,2314057,773.74,925623,722,0.053245,1786.13,1289569,27188
State House District 22; Hawaii; Hawaii,15,22,1522,13437.9,1267.4,0.094312,1814.32,2299382,725.73,919753,664.4,0.049443,1800.36,1196179,27492
State House District 23; Hawaii; Hawaii,15,23,1523,13587.3,1662,0.122323,1927.54,3203655,771.02,1281462,849.9,0.062551,1795.92,1526347,27030
State House District 24; Hawaii; Hawaii,15,24,1524,14321.4,1385.5,0.096742,1628.42,2256139,651.37,902456,637.1,0.044485,1679.34,1069888,28417
State House District 25; Hawaii; Hawaii,15,25,1525,15323.7,1453.1,0.094825,1721.15,2500948,688.46,1000379,728.1,0.047516,1770.24,1288953,28187
State House District 26; Hawaii; Hawaii,15,26,1526,13867.7,1228.2,0.088565,1745.35,2143622,698.14,857449,634.4,0.045749,1787.45,1134021,27767
State House District 27; Hawaii; Hawaii,15,27,1527,13491.4,1902.6,0.141024,2180.02,4147731,872.01,1659092,1095.5,0.081201,1863.03,2040978,27560
State House District 28; Hawaii; Hawaii,15,28,1528,13069.5,2115.8,0.161889,2268.43,4799547,907.37,1919819,1236.8,0.094636,1877.42,2322085,27502
State House District 29; Hawaii; Hawaii,15,29,1529,11900.2,2180.7,0.183252,2504.26,5461127,1001.71,2184451,1567.9,0.131753,1863.03,2921008,27582
State House District 30; Hawaii; Hawaii,15,30,1530,15045.2,2517.6,0.167338,2409.06,6065167,963.63,2426067,1896.2,0.126033,1913.4,3628184,34804
State House District 31; Hawaii; Hawaii,15,31,1531,17281.2,2129.9,0.123248,2124,4523870,849.6,1809548,1929.2,0.111636,2047.55,3950134,38967
State House District 32; Hawaii; Hawaii,15,32,1532,15596.2,2005.5,0.128589,2286.39,4585345,914.56,1834138,1636.7,0.104944,1952.74,3196117,35332
State House District 33; Hawaii; Hawaii,15,33,1533,13932,1210.2,0.086865,2139.18,2588856,855.67,1035542,862,0.061873,1876.25,1617364,28847
State House District 34; Hawaii; Hawaii,15,34,1534,14111.9,1328.6,0.09415,2213.53,2940978,885.41,1176391,1026.9,0.07277,1920.82,1972526,28935
State House District 35; Hawaii; Hawaii,15,35,1535,13194.6,1571.6,0.119113,2271.17,3569487,908.47,1427795,1191.9,0.090334,1885.89,2247833,28297
State House District 36; Hawaii; Hawaii,15,36,1536,12432.9,1595.7,0.128348,2286.74,3649041,914.7,1459616,1203.7,0.096819,1876.08,2258319,27096
State House District 37; Hawaii; Hawaii,15,37,1537,13383.7,1140.2,0.085196,2116.19,2412959,846.48,965184,891.3,0.066599,1905.46,1698416,27975
State House District 38; Hawaii; Hawaii,15,38,1538,14028.9,976.1,0.069575,2001.62,1953703,800.65,781481,780.8,0.05566,1923.65,1502077,28874
State House District 39; Hawaii; Hawaii,15,39,1539,12982.7,1648,0.12694,2296.6,3784846,918.64,1513938,1285.7,0.099034,1898.13,2440491,28339
State House District 40; Hawaii; Hawaii,15,40,1540,13618.5,1658.1,0.121751,2336.4,3873922,934.56,1549569,1464.3,0.107524,1973.03,2889140,29919
State House District 41; Hawaii; Hawaii,15,41,1541,14299.1,1725.7,0.120683,2330.69,4021958,932.28,1608783,1518.4,0.106186,1974.51,2998020,31537
State House District 42; Hawaii; Hawaii,15,42,1542,12496.1,1449.4,0.115986,2304.31,3339810,921.72,1335924,1253.4,0.100303,1981.51,2483616,28037
State House District 43; Hawaii; Hawaii,15,43,1543,12496.9,1355.3,0.108451,2257.21,3059216,902.88,1223686,1135.5,0.090865,1994.62,2264955,28804
State House District 44; Hawaii; Hawaii,15,44,1544,10465.5,2242.4,0.214267,2576.25,5777004,1030.5,2310801,1819.6,0.173863,2039.76,3711466,27853
State House District 45; Hawaii; Hawaii,15,45,1545,10058.6,2318.8,0.230528,2599.32,6027245,1039.73,2410898,1877.1,0.186618,2043.14,3835185,27324
State House District 46; Hawaii; Hawaii,15,46,1546,21922.1,3638.8,0.165986,2414.89,8787218,965.96,3514887,3317.1,0.151313,2137.25,7089463,51085
State House District 47; Hawaii; Hawaii,15,47,1547,12655.5,2184.8,0.172637,1999.87,4369334,799.95,1747733,1479.8,0.116927,2123.42,3142168,31669
State House District 48; Hawaii; Hawaii,15,48,1548,12595.4,1057.5,0.083959,2026.76,2143289,810.7,857316,774.5,0.061493,1947.49,1508391,27193
State House District 49; Hawaii; Hawaii,15,49,1549,12622.6,1030,0.081603,2059.86,2121752,823.94,848701,772.3,0.061181,1949.8,1505757,27328
State House District 50; Hawaii; Hawaii,15,50,1550,18538.5,1477.7,0.079707,1983.05,2930264,793.22,1172106,1220.3,0.065827,1951.45,2381434,40539
State House District 51; Hawaii; Hawaii,15,51,1551,11989.3,1295.7,0.108074,2216.18,2871558,886.47,1148623,1038.8,0.086641,1929.3,2004092,27776
